Kind;Name;Type;Description
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[];list;[Optional] List of column families to expose in the table schema along with their types. This list restricts the column families that can be referenced in queries and specifies their value types. You can use this list to do type conversions - see the 'type' field for more details. If you leave this list empty, all column families are present in the table schema and their values are read as BYTES. During a query only the column families referenced in that query are read from Bigtable.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].columns[];list;[Optional] Lists of columns that should be exposed as individual fields as opposed to a list of (column name, value) pairs. All columns whose qualifier matches a qualifier in this list can be accessed as .. Other columns can be accessed as a list through .Column field.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].columns[].encoding;string;[Optional] The encoding of the values when the type is not STRING. Acceptable encoding values are: TEXT - indicates values are alphanumeric text strings. BINARY - indicates values are encoded using HBase Bytes.toBytes family of functions. 'encoding' can also be set at the column family level. However, the setting at this level takes precedence if 'encoding' is set at both levels.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].columns[].fieldName;string;[Optional] If the qualifier is not a valid BigQuery field identifier i.e. does not match [a-zA-Z][a-zA-Z0-9_]*, a valid identifier must be provided as the column field name and is used as field name in queries.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].columns[].onlyReadLatest;boolean;[Optional] If this is set, only the latest version of value in this column are exposed. 'onlyReadLatest' can also be set at the column family level. However, the setting at this level takes precedence if 'onlyReadLatest' is set at both levels.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].columns[].qualifierEncoded;bytes;[Required] Qualifier of the column. Columns in the parent column family that has this exact qualifier are exposed as . field. If the qualifier is valid UTF-8 string, it can be specified in the qualifier_string field. Otherwise, a base-64 encoded value must be set to qualifier_encoded. The column field name is the same as the column qualifier. However, if the qualifier is not a valid BigQuery field identifier i.e. does not match [a-zA-Z][a-zA-Z0-9_]*, a valid identifier must be provided as field_name.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].columns[].qualifierString;string;None
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].columns[].type;string;[Optional] The type to convert the value in cells of this column. The values are expected to be encoded using HBase Bytes.toBytes function when using the BINARY encoding value. Following BigQuery types are allowed (case-sensitive) - BYTES STRING INTEGER FLOAT BOOLEAN Default type is BYTES. 'type' can also be set at the column family level. However, the setting at this level takes precedence if 'type' is set at both levels.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].encoding;string;[Optional] The encoding of the values when the type is not STRING. Acceptable encoding values are: TEXT - indicates values are alphanumeric text strings. BINARY - indicates values are encoded using HBase Bytes.toBytes family of functions. This can be overridden for a specific column by listing that column in 'columns' and specifying an encoding for it.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].familyId;string;Identifier of the column family.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].onlyReadLatest;boolean;[Optional] If this is set only the latest version of value are exposed for all columns in this column family. This can be overridden for a specific column by listing that column in 'columns' and specifying a different setting for that column.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.columnFamilies[].type;string;[Optional] The type to convert the value in cells of this column family. The values are expected to be encoded using HBase Bytes.toBytes function when using the BINARY encoding value. Following BigQuery types are allowed (case-sensitive) - BYTES STRING INTEGER FLOAT BOOLEAN Default type is BYTES. This can be overridden for a specific column by listing that column in 'columns' and specifying a type for it.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.ignoreUnspecifiedColumnFamilies;boolean;[Optional] If field is true, then the column families that are not specified in columnFamilies list are not exposed in the table schema. Otherwise, they are read with BYTES type values. The default value is false.
bigquery.v2.table;externalDataConfiguration.bigtableOptions.readRowkeyAsString;boolean;[Optional] If field is true, then the rowkey column families will be read and converted to string. Otherwise they are read with BYTES type values and users need to manually cast them with CAST if necessary. The default value is false.
bigquery.v2.table;externalDataConfiguration.compression;string;[Optional] The compression type of the data source. Possible values include GZIP and NONE. The default value is NONE. This setting is ignored for Google Cloud Bigtable, Google Cloud Datastore backups and Avro formats.
bigquery.v2.table;externalDataConfiguration.csvOptions;nested object;Additional properties to set if sourceFormat is set to CSV.
bigquery.v2.table;externalDataConfiguration.csvOptions.allowJaggedRows;boolean;[Optional] Indicates if BigQuery should accept rows that are missing trailing optional columns. If true, BigQuery treats missing trailing columns as null values. If false, records with missing trailing columns are treated as bad records, and if there are too many bad records, an invalid error is returned in the job result. The default value is false.
bigquery.v2.table;externalDataConfiguration.csvOptions.allowQuotedNewlines;boolean;[Optional] Indicates if BigQuery should allow quoted data sections that contain newline characters in a CSV file. The default value is false.
bigquery.v2.table;externalDataConfiguration.csvOptions.encoding;string;[Optional] The character encoding of the data. The supported values are UTF-8 or ISO-8859-1. The default value is UTF-8. BigQuery decodes the data after the raw, binary data has been split using the values of the quote and fieldDelimiter properties.
bigquery.v2.table;externalDataConfiguration.csvOptions.fieldDelimiter;string;[Optional] The separator for fields in a CSV file. BigQuery converts the string to ISO-8859-1 encoding, and then uses the first byte of the encoded string to split the data in its raw, binary state. BigQuery also supports the escape sequence "\t" to specify a tab separator. The default value is a comma (',').
bigquery.v2.table;externalDataConfiguration.csvOptions.quote;string;[Optional] The value that is used to quote data sections in a CSV file. BigQuery converts the string to ISO-8859-1 encoding, and then uses the first byte of the encoded string to split the data in its raw, binary state. The default value is a double-quote ('"'). If your data does not contain quoted sections, set the property value to an empty string. If your data contains quoted newline characters, you must also set the allowQuotedNewlines property to true.
bigquery.v2.table;externalDataConfiguration.csvOptions.skipLeadingRows;long;[Optional] The number of rows at the top of a CSV file that BigQuery will skip when reading the data. The default value is 0. This property is useful if you have header rows in the file that should be skipped.
bigquery.v2.table;externalDataConfiguration.googleSheetsOptions;nested object;[Optional] Additional options if sourceFormat is set to GOOGLE_SHEETS.
bigquery.v2.table;externalDataConfiguration.googleSheetsOptions.skipLeadingRows;long;[Optional] The number of rows at the top of a sheet that BigQuery will skip when reading the data. The default value is 0. This property is useful if you have header rows that should be skipped. When autodetect is on, behavior is the following: * skipLeadingRows unspecified - Autodetect tries to detect headers in the first row. If they are not detected, the row is read as data. Otherwise data is read starting from the second row. * skipLeadingRows is 0 - Instructs autodetect that there are no headers and data should be read starting from the first row. * skipLeadingRows = N > 0 - Autodetect skips N-1 rows and tries to detect headers in row N. If headers are not detected, row N is just skipped. Otherwise row N is used to extract column names for the detected schema.
bigquery.v2.table;externalDataConfiguration.ignoreUnknownValues;boolean;[Optional] Indicates if BigQuery should allow extra values that are not represented in the table schema. If true, the extra values are ignored. If false, records with extra columns are treated as bad records, and if there are too many bad records, an invalid error is returned in the job result. The default value is false. The sourceFormat property determines what BigQuery treats as an extra value: CSV: Trailing columns JSON: Named values that don't match any column names Google Cloud Bigtable: This setting is ignored. Google Cloud Datastore backups: This setting is ignored. Avro: This setting is ignored.
bigquery.v2.table;externalDataConfiguration.maxBadRecords;integer;[Optional] The maximum number of bad records that BigQuery can ignore when reading data. If the number of bad records exceeds this value, an invalid error is returned in the job result. The default value is 0, which requires that all records are valid. This setting is ignored for Google Cloud Bigtable, Google Cloud Datastore backups and Avro formats.
bigquery.v2.table;externalDataConfiguration.schema;nested object;[Optional] The schema for the data. Schema is required for CSV and JSON formats. Schema is disallowed for Google Cloud Bigtable, Cloud Datastore backups, and Avro formats.
bigquery.v2.table;externalDataConfiguration.schema.fields[];list;Describes the fields in a table.
bigquery.v2.table;externalDataConfiguration.schema.fields[].description;string;[Optional] The field description. The maximum length is 1,024 characters.
bigquery.v2.table;externalDataConfiguration.schema.fields[].fields[];list;[Optional] Describes the nested schema fields if the type property is set to RECORD.
bigquery.v2.table;externalDataConfiguration.schema.fields[].mode;string;[Optional] The field mode. Possible values include NULLABLE, REQUIRED and REPEATED. The default value is NULLABLE.
bigquery.v2.table;externalDataConfiguration.schema.fields[].name;string;[Required] The field name. The name must contain only letters (a-z, A-Z), numbers (0-9), or underscores (_), and must start with a letter or underscore. The maximum length is 128 characters.
bigquery.v2.table;externalDataConfiguration.schema.fields[].type;string;[Required] The field data type. Possible values include STRING, BYTES, INTEGER, INT64 (same as INTEGER), FLOAT, FLOAT64 (same as FLOAT), BOOLEAN, BOOL (same as BOOLEAN), TIMESTAMP, DATE, TIME, DATETIME, RECORD (where RECORD indicates that the field contains a nested schema) or STRUCT (same as RECORD).
bigquery.v2.table;externalDataConfiguration.sourceFormat;string;[Required] The data format. For CSV files, specify "CSV". For Google sheets, specify "GOOGLE_SHEETS". For newline-delimited JSON, specify "NEWLINE_DELIMITED_JSON". For Avro files, specify "AVRO". For Google Cloud Datastore backups, specify "DATASTORE_BACKUP". [Beta] For Google Cloud Bigtable, specify "BIGTABLE".
bigquery.v2.table;externalDataConfiguration.sourceUris[];list;[Required] The fully-qualified URIs that point to your data in Google Cloud. For Google Cloud Storage URIs: Each URI can contain one '*' wildcard character and it must come after the 'bucket' name. Size limits related to load jobs apply to external data sources. For Google Cloud Bigtable URIs: Exactly one URI can be specified and it has be a fully specified and valid HTTPS URL for a Google Cloud Bigtable table. For Google Cloud Datastore backups, exactly one URI can be specified, and it must end with '.backup_info'. Also, the '*' wildcard character is not allowed.
bigquery.v2.table;friendlyName;string;[Optional] A descriptive name for this table.
bigquery.v2.table;id;string;[Output-only] An opaque ID uniquely identifying the table.
bigquery.v2.table;kind;bigquery#table;The type of resource ID.
bigquery.v2.table;labels;object;[Experimental] The labels associated with this table. You can use these to organize and group your tables. Label keys and values can be no longer than 63 characters, can only contain lowercase letters, numeric characters, underscores and dashes. International characters are allowed. Label values are optional. Label keys must start with a letter and each label in the list must have a different key.
bigquery.v2.table;labels.(key);string;None
bigquery.v2.table;lastModifiedTime;unsigned long;[Output-only] The time when this table was last modified, in milliseconds since the epoch.
bigquery.v2.table;location;string;[Output-only] The geographic location where the table resides. This value is inherited from the dataset.
bigquery.v2.table;numBytes;long;[Output-only] The size of this table in bytes, excluding any data in the streaming buffer.
bigquery.v2.table;numLongTermBytes;long;[Output-only] The number of bytes in the table that are considered "long-term storage".
bigquery.v2.table;numRows;unsigned long;[Output-only] The number of rows of data in this table, excluding any data in the streaming buffer.
bigquery.v2.table;schema;nested object;[Optional] Describes the schema of this table.
bigquery.v2.table;schema.fields[];list;Describes the fields in a table.
bigquery.v2.table;schema.fields[].description;string;[Optional] The field description. The maximum length is 1,024 characters.
bigquery.v2.table;schema.fields[].fields[];list;[Optional] Describes the nested schema fields if the type property is set to RECORD.
bigquery.v2.table;schema.fields[].mode;string;[Optional] The field mode. Possible values include NULLABLE, REQUIRED and REPEATED. The default value is NULLABLE.
bigquery.v2.table;schema.fields[].name;string;[Required] The field name. The name must contain only letters (a-z, A-Z), numbers (0-9), or underscores (_), and must start with a letter or underscore. The maximum length is 128 characters.
