Kind;Name;Description
compute.beta.httpHealthCheck;patch;Updates a HttpHealthCheck resource in the specified project using the data included in the request. This method supports patch semantics.
compute.beta.httpHealthCheck;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.httpHealthCheck;update;Updates a HttpHealthCheck resource in the specified project using the data included in the request.
compute.beta.httpsHealthCheck;delete;Deletes the specified HttpsHealthCheck resource.
compute.beta.httpsHealthCheck;get;Returns the specified HttpsHealthCheck resource. Get a list of available HTTPS health checks by making a list() request.
compute.beta.httpsHealthCheck;insert;Creates a HttpsHealthCheck resource in the specified project using the data included in the request.
compute.beta.httpsHealthCheck;list;Retrieves the list of HttpsHealthCheck resources available to the specified project.
compute.beta.httpsHealthCheck;patch;Updates a HttpsHealthCheck resource in the specified project using the data included in the request. This method supports patch semantics.
compute.beta.httpsHealthCheck;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.httpsHealthCheck;update;Updates a HttpsHealthCheck resource in the specified project using the data included in the request.
compute.beta.image;delete;Deletes the specified image.
compute.beta.image;deprecate;Sets the deprecation status of an image. If an empty request body is given, clears the deprecation status instead.
compute.beta.image;get;Returns the specified image. Get a list of available images by making a list() request.
compute.beta.image;getFromFamily;Returns the latest image that is part of an image family and is not deprecated.
compute.beta.image;insert;Creates an image in the specified project using the data included in the request.
compute.beta.image;list;Retrieves the list of private images available to the specified project. Private images are images you create that belong to your project. This method does not get any images that belong to other projects, including publicly-available images, like Debian 8. If you want to get a list of publicly-available images, use this method to make a request to the respective image project, such as debian-cloud or windows-cloud.
compute.beta.image;setLabels;Sets the labels on an image. To learn more about labels, read the Labeling or Tagging Resources documentation.
compute.beta.image;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.instance;addAccessConfig;Adds an access config to an instance's network interface.
compute.beta.instance;aggregatedList;Retrieves aggregated list of instances.
compute.beta.instance;attachDisk;Attaches an existing Disk resource to an instance. You must first create the disk before you can attach it. It is not possible to create and attach a disk at the same time. For more information, read Adding a persistent disk to your instance.
compute.beta.instance;delete;Deletes the specified Instance resource. For more information, see Stopping or Deleting an Instance.
compute.beta.instance;deleteAccessConfig;Deletes an access config from an instance's network interface.
compute.beta.instance;detachDisk;Detaches a disk from an instance.
compute.beta.instance;get;Returns the specified Instance resource. Get a list of available instances by making a list() request.
compute.beta.instance;getSerialPortOutput;Returns the specified instance's serial port output.
compute.beta.instance;insert;Creates an instance resource in the specified project using the data included in the request.
compute.beta.instance;list;Retrieves the list of instances contained within the specified zone.
compute.beta.instance;listReferrers;Retrieves the list of referrers to instances contained within the specified zone.
compute.beta.instance;reset;Performs a reset on the instance. For more information, see Resetting an instance.
compute.beta.instance;setDiskAutoDelete;Sets the auto-delete flag for a disk attached to an instance.
compute.beta.instance;setLabels;Sets labels on an instance. To learn more about labels, read the Labeling or Tagging Resources documentation.
compute.beta.instance;setMachineResources;Changes the number and/or type of accelerator for a stopped instance to the values specified in the request.
compute.beta.instance;setMachineType;Changes the machine type for a stopped instance to the machine type specified in the request.
compute.beta.instance;setMetadata;Sets metadata for the specified instance to the data included in the request.
compute.beta.instance;setScheduling;Sets an instance's scheduling options.
compute.beta.instance;setServiceAccount;Sets the service account on the instance. For more information, read Changing the service account and access scopes for an instance.
compute.beta.instance;setTags;Sets tags for the specified instance to the data included in the request.
compute.beta.instance;start;Starts an instance that was stopped using the using the instances().stop method. For more information, see Restart an instance.
compute.beta.instance;startWithEncryptionKey;Starts an instance that was stopped using the using the instances().stop method. For more information, see Restart an instance.
compute.beta.instance;stop;Stops a running instance, shutting it down cleanly, and allows you to restart the instance at a later time. Stopped instances do not incur per-minute, virtual machine usage charges while they are stopped, but any resources that the virtual machine is using, such as persistent disks and static IP addresses, will continue to be charged until they are deleted. For more information, see Stopping an instance.
compute.beta.instance;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.instanceGroup;addInstances;Adds a list of instances to the specified instance group. All of the instances in the instance group must be in the same network/subnetwork. Read Adding instances for more information.
compute.beta.instanceGroup;aggregatedList;Retrieves the list of instance groups and sorts them by zone.
compute.beta.instanceGroup;delete;Deletes the specified instance group. The instances in the group are not deleted. Note that instance group must not belong to a backend service. Read Deleting an instance group for more information.
compute.beta.instanceGroup;get;Returns the specified instance group. Get a list of available instance groups by making a list() request.
compute.beta.instanceGroup;insert;Creates an instance group in the specified project using the parameters that are included in the request.
compute.beta.instanceGroup;list;Retrieves the list of instance groups that are located in the specified project and zone.
compute.beta.instanceGroup;listInstances;Lists the instances in the specified instance group.
compute.beta.instanceGroup;removeInstances;Removes one or more instances from the specified instance group, but does not delete those instances. If the group is part of a backend service that has enabled connection draining, it can take up to 60 seconds after the connection draining duration has elapsed before the VM instance is removed or deleted.
compute.beta.instanceGroup;setNamedPorts;Sets the named ports for the specified instance group.
compute.beta.instanceGroup;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.instanceGroupManager;abandonInstances;Schedules a group action to remove the specified instances from the managed instance group. Abandoning an instance does not delete the instance, but it does remove the instance from any target pools that are applied by the managed instance group. This method reduces the targetSize of the managed instance group by the number of instances that you abandon. This operation is marked as DONE when the action is scheduled even if the instances have not yet been removed from the group. You must separately verify the status of the abandoning action with the listmanagedinstances method. If the group is part of a backend service that has enabled connection draining, it can take up to 60 seconds after the connection draining duration has elapsed before the VM instance is removed or deleted. You can specify a maximum of 1000 instances with this method per request.
compute.beta.instanceGroupManager;aggregatedList;Retrieves the list of managed instance groups and groups them by zone.
compute.beta.instanceGroupManager;delete;Deletes the specified managed instance group and all of the instances in that group. Note that the instance group must not belong to a backend service. Read Deleting an instance group for more information.
compute.beta.instanceGroupManager;deleteInstances;Schedules a group action to delete the specified instances in the managed instance group. The instances are also removed from any target pools of which they were a member. This method reduces the targetSize of the managed instance group by the number of instances that you delete. This operation is marked as DONE when the action is scheduled even if the instances are still being deleted. You must separately verify the status of the deleting action with the listmanagedinstances method. If the group is part of a backend service that has enabled connection draining, it can take up to 60 seconds after the connection draining duration has elapsed before the VM instance is removed or deleted. You can specify a maximum of 1000 instances with this method per request.
compute.beta.instanceGroupManager;get;Returns all of the details about the specified managed instance group. Get a list of available managed instance groups by making a list() request.
compute.beta.instanceGroupManager;insert;Creates a managed instance group using the information that you specify in the request. After the group is created, it schedules an action to create instances in the group using the specified instance template. This operation is marked as DONE when the group is created even if the instances in the group have not yet been created. You must separately verify the status of the individual instances with the listmanagedinstances method. A managed instance group can have up to 1000 VM instances per group.
compute.beta.instanceGroupManager;list;Retrieves a list of managed instance groups that are contained within the specified project and zone.
compute.beta.instanceGroupManager;listManagedInstances;Lists all of the instances in the managed instance group. Each instance in the list has a currentAction, which indicates the action that the managed instance group is performing on the instance. For example, if the group is still creating an instance, the currentAction is CREATING. If a previous action failed, the list displays the errors for that failed action.
compute.beta.instanceGroupManager;recreateInstances;Schedules a group action to recreate the specified instances in the managed instance group. The instances are deleted and recreated using the current instance template for the managed instance group. This operation is marked as DONE when the action is scheduled even if the instances have not yet been recreated. You must separately verify the status of the recreating action with the listmanagedinstances method. If the group is part of a backend service that has enabled connection draining, it can take up to 60 seconds after the connection draining duration has elapsed before the VM instance is removed or deleted. You can specify a maximum of 1000 instances with this method per request.
compute.beta.instanceGroupManager;resize;Resizes the managed instance group. If you increase the size, the group creates new instances using the current instance template. If you decrease the size, the group deletes instances. The resize operation is marked DONE when the resize actions are scheduled even if the group has not yet added or deleted any instances. You must separately verify the status of the creating or deleting actions with the listmanagedinstances method. If the group is part of a backend service that has enabled connection draining, it can take up to 60 seconds after the connection draining duration has elapsed before the VM instance is removed or deleted.
compute.beta.instanceGroupManager;resizeAdvanced;Resizes the managed instance group with advanced configuration options like disabling creation retries. This is an extended version of the resize method. If you increase the size of the instance group, the group creates new instances using the current instance template. If you decrease the size, the group deletes instances. The resize operation is marked DONE when the resize actions are scheduled even if the group has not yet added or deleted any instances. You must separately verify the status of the creating, creatingWithoutRetries, or deleting actions with the get or listmanagedinstances method. If the group is part of a backend service that has enabled connection draining, it can take up to 60 seconds after the connection draining duration has elapsed before the VM instance is removed or deleted.
compute.beta.instanceGroupManager;setAutoHealingPolicies;Modifies the autohealing policies.
compute.beta.instanceGroupManager;setInstanceTemplate;Specifies the instance template to use when creating new instances in this group. The templates for existing instances in the group do not change unless you recreate them.
compute.beta.instanceGroupManager;setTargetPools;Modifies the target pools to which all instances in this managed instance group are assigned. The target pools automatically apply to all of the instances in the managed instance group. This operation is marked DONE when you make the request even if the instances have not yet been added to their target pools. The change might take some time to apply to all of the instances in the group depending on the size of the group.
compute.beta.instanceGroupManager;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.instanceTemplate;delete;Deletes the specified instance template. If you delete an instance template that is being referenced from another instance group, the instance group will not be able to create or recreate virtual machine instances. Deleting an instance template is permanent and cannot be undone.
compute.beta.instanceTemplate;get;Returns the specified instance template. Get a list of available instance templates by making a list() request.
compute.beta.instanceTemplate;insert;Creates an instance template in the specified project using the data that is included in the request. If you are creating a new template to update an existing instance group, your new instance template must use the same network or, if applicable, the same subnetwork as the original template.
compute.beta.instanceTemplate;list;Retrieves a list of instance templates that are contained within the specified project and zone.
compute.beta.instanceTemplate;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.network;addPeering;Adds a peering to the specified network.
compute.beta.network;delete;Deletes the specified network.
compute.beta.network;get;Returns the specified network. Get a list of available networks by making a list() request.
compute.beta.network;insert;Creates a network in the specified project using the data included in the request.
compute.beta.network;list;Retrieves the list of networks available to the specified project.
compute.beta.network;removePeering;Removes a peering from the specified network.
compute.beta.network;switchToCustomMode;Switches the network mode from auto subnet mode to custom subnet mode.
compute.beta.network;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.regionAutoscaler;delete;Deletes the specified autoscaler.
compute.beta.regionAutoscaler;get;Returns the specified autoscaler.
compute.beta.regionAutoscaler;insert;Creates an autoscaler in the specified project using the data included in the request.
compute.beta.regionAutoscaler;list;Retrieves a list of autoscalers contained within the specified region.
compute.beta.regionAutoscaler;patch;Updates an autoscaler in the specified project using the data included in the request. This method supports patch semantics.
compute.beta.regionAutoscaler;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.regionAutoscaler;update;Updates an autoscaler in the specified project using the data included in the request.
compute.beta.regionBackendService;delete;Deletes the specified regional BackendService resource.
compute.beta.regionBackendService;get;Returns the specified regional BackendService resource.
compute.beta.regionBackendService;getHealth;Gets the most recent health check results for this regional BackendService.
compute.beta.regionBackendService;insert;Creates a regional BackendService resource in the specified project using the data included in the request. There are several restrictions and guidelines to keep in mind when creating a regional backend service. Read Restrictions and Guidelines for more information.
compute.beta.regionBackendService;list;Retrieves the list of regional BackendService resources available to the specified project in the given region.
compute.beta.regionBackendService;patch;Updates the specified regional BackendService resource with the data included in the request. There are several restrictions and guidelines to keep in mind when updating a backend service. Read Restrictions and Guidelines for more information. This method supports patch semantics.
compute.beta.regionBackendService;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.regionBackendService;update;Updates the specified regional BackendService resource with the data included in the request. There are several restrictions and guidelines to keep in mind when updating a backend service. Read Restrictions and Guidelines for more information.
compute.beta.regionInstanceGroup;get;Returns the specified instance group resource.
compute.beta.regionInstanceGroup;list;Retrieves the list of instance group resources contained within the specified region.
compute.beta.regionInstanceGroup;listInstances;Lists the instances in the specified instance group and displays information about the named ports. Depending on the specified options, this method can list all instances or only the instances that are running.
compute.beta.regionInstanceGroup;setNamedPorts;Sets the named ports for the specified regional instance group.
compute.beta.regionInstanceGroup;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.regionInstanceGroupManager;abandonInstances;Schedules a group action to remove the specified instances from the managed instance group. Abandoning an instance does not delete the instance, but it does remove the instance from any target pools that are applied by the managed instance group. This method reduces the targetSize of the managed instance group by the number of instances that you abandon. This operation is marked as DONE when the action is scheduled even if the instances have not yet been removed from the group. You must separately verify the status of the abandoning action with the listmanagedinstances method. You can specify a maximum of 1000 instances with this method per request.
compute.beta.regionInstanceGroupManager;delete;Deletes the specified managed instance group and all of the instances in that group.
compute.beta.regionInstanceGroupManager;deleteInstances;Schedules a group action to delete the specified instances in the managed instance group. The instances are also removed from any target pools of which they were a member. This method reduces the targetSize of the managed instance group by the number of instances that you delete. This operation is marked as DONE when the action is scheduled even if the instances are still being deleted. You must separately verify the status of the deleting action with the listmanagedinstances method. You can specify a maximum of 1000 instances with this method per request.
compute.beta.regionInstanceGroupManager;get;Returns all of the details about the specified managed instance group.
compute.beta.regionInstanceGroupManager;insert;Creates a managed instance group using the information that you specify in the request. After the group is created, it schedules an action to create instances in the group using the specified instance template. This operation is marked as DONE when the group is created even if the instances in the group have not yet been created. You must separately verify the status of the individual instances with the listmanagedinstances method. A regional managed instance group can contain up to 2000 instances.
compute.beta.regionInstanceGroupManager;list;Retrieves the list of managed instance groups that are contained within the specified region.
compute.beta.regionInstanceGroupManager;listManagedInstances;Lists the instances in the managed instance group and instances that are scheduled to be created. The list includes any current actions that the group has scheduled for its instances.
compute.beta.regionInstanceGroupManager;recreateInstances;Schedules a group action to recreate the specified instances in the managed instance group. The instances are deleted and recreated using the current instance template for the managed instance group. This operation is marked as DONE when the action is scheduled even if the instances have not yet been recreated. You must separately verify the status of the recreating action with the listmanagedinstances method. You can specify a maximum of 1000 instances with this method per request.
compute.beta.regionInstanceGroupManager;resize;Changes the intended size for the managed instance group. If you increase the size, the group schedules actions to create new instances using the current instance template. If you decrease the size, the group schedules delete actions on one or more instances. The resize operation is marked DONE when the resize actions are scheduled even if the group has not yet added or deleted any instances. You must separately verify the status of the creating or deleting actions with the listmanagedinstances method.
compute.beta.regionInstanceGroupManager;setAutoHealingPolicies;Modifies the autohealing policy for the instances in this managed instance group.
compute.beta.regionInstanceGroupManager;setInstanceTemplate;Sets the instance template to use when creating new instances or recreating instances in this group. Existing instances are not affected.
compute.beta.regionInstanceGroupManager;setTargetPools;Modifies the target pools to which all new instances in this group are assigned. Existing instances in the group are not affected.
compute.beta.regionInstanceGroupManager;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.route;delete;Deletes the specified Route resource.
compute.beta.route;get;Returns the specified Route resource. Get a list of available routes by making a list() request.
compute.beta.route;insert;Creates a Route resource in the specified project using the data included in the request.
compute.beta.route;list;Retrieves the list of Route resources available to the specified project.
compute.beta.route;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.router;aggregatedList;Retrieves an aggregated list of routers.
compute.beta.router;delete;Deletes the specified Router resource.
compute.beta.router;get;Returns the specified Router resource. Get a list of available routers by making a list() request.
compute.beta.router;getRouterStatus;Retrieves runtime information of the specified router.
compute.beta.router;insert;Creates a Router resource in the specified project and region using the data included in the request.
compute.beta.router;list;Retrieves a list of Router resources available to the specified project.
compute.beta.router;patch;Updates the specified Router resource with the data included in the request. This method supports patch semantics.
compute.beta.router;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.router;update;Updates the specified Router resource with the data included in the request.
compute.beta.sslCertificate;delete;Deletes the specified SslCertificate resource.
compute.beta.sslCertificate;get;Returns the specified SslCertificate resource. Get a list of available SSL certificates by making a list() request.
compute.beta.sslCertificate;insert;Creates a SslCertificate resource in the specified project using the data included in the request.
compute.beta.sslCertificate;list;Retrieves the list of SslCertificate resources available to the specified project.
compute.beta.sslCertificate;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.subnetwork;aggregatedList;Retrieves an aggregated list of subnetworks.
compute.beta.subnetwork;delete;Deletes the specified subnetwork.
compute.beta.subnetwork;expandIpCidrRange;Expands the IP CIDR range of the subnetwork to a specified value.
compute.beta.subnetwork;get;Returns the specified subnetwork. Get a list of available subnetworks list() request.
compute.beta.subnetwork;getIamPolicy;Gets the access control policy for a resource. May be empty if no such policy or resource exists.
compute.beta.subnetwork;insert;Creates a subnetwork in the specified project using the data included in the request.
compute.beta.subnetwork;list;Retrieves a list of subnetworks available to the specified project.
compute.beta.subnetwork;setIamPolicy;Sets the access control policy on the specified resource. Replaces any existing policy.
compute.beta.subnetwork;setPrivateIpGoogleAccess;Set whether VMs in this subnet can access Google services without assigning external IP addresses through Cloudpath.
compute.beta.subnetwork;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.targetHttpProxy;delete;Deletes the specified TargetHttpProxy resource.
compute.beta.targetHttpProxy;get;Returns the specified TargetHttpProxy resource. Get a list of available target HTTP proxies by making a list() request.
compute.beta.targetHttpProxy;insert;Creates a TargetHttpProxy resource in the specified project using the data included in the request.
compute.beta.targetHttpProxy;list;Retrieves the list of TargetHttpProxy resources available to the specified project.
compute.beta.targetHttpProxy;setUrlMap;Changes the URL map for TargetHttpProxy.
compute.beta.targetHttpProxy;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.targetHttpsProxy;delete;Deletes the specified TargetHttpsProxy resource.
compute.beta.targetHttpsProxy;get;Returns the specified TargetHttpsProxy resource. Get a list of available target HTTPS proxies by making a list() request.
compute.beta.targetHttpsProxy;insert;Creates a TargetHttpsProxy resource in the specified project using the data included in the request.
compute.beta.targetHttpsProxy;list;Retrieves the list of TargetHttpsProxy resources available to the specified project.
compute.beta.targetHttpsProxy;setSslCertificates;Replaces SslCertificates for TargetHttpsProxy.
compute.beta.targetHttpsProxy;setUrlMap;Changes the URL map for TargetHttpsProxy.
compute.beta.targetHttpsProxy;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.targetInstance;aggregatedList;Retrieves an aggregated list of target instances.
compute.beta.targetInstance;delete;Deletes the specified TargetInstance resource.
compute.beta.targetInstance;get;Returns the specified TargetInstance resource. Get a list of available target instances by making a list() request.
compute.beta.targetInstance;insert;Creates a TargetInstance resource in the specified project and zone using the data included in the request.
compute.beta.targetInstance;list;Retrieves a list of TargetInstance resources available to the specified project and zone.
compute.beta.targetInstance;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.targetPool;addHealthCheck;Adds health check URLs to a target pool.
compute.beta.targetPool;addInstance;Adds an instance to a target pool.
compute.beta.targetPool;aggregatedList;Retrieves an aggregated list of target pools.
compute.beta.targetPool;delete;Deletes the specified target pool.
compute.beta.targetPool;get;Returns the specified target pool. Get a list of available target pools by making a list() request.
compute.beta.targetPool;getHealth;Gets the most recent health check results for each IP for the instance that is referenced by the given target pool.
compute.beta.targetPool;insert;Creates a target pool in the specified project and region using the data included in the request.
compute.beta.targetPool;list;Retrieves a list of target pools available to the specified project and region.
compute.beta.targetPool;removeHealthCheck;Removes health check URL from a target pool.
